Port Name,State,Port Code,Border,Date,Measure,Value,,,
Eastport,ME,103,US-Canada Border,2/1/20 0:00,Truck Containers Empty,61,,,
Eastport,ME,103,US-Canada Border,2/1/20 0:00,Truck Containers Full,85,,,
Eastport,ME,103,US-Canada Border,2/1/20 0:00,Trucks,146,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Bus Passengers,22909,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Buses,1531,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Pedestrians,489272,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Personal Vehicle Passengers,1504954,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Personal Vehicles,891337,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Rail Containers Empty,4922,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Rail Containers Full,2659,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Trains,98,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Truck Containers Empty,25435,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Truck Containers Full,37230,,,
El Paso,TX,2402,US-Mexico Border,2/1/20 0:00,Trucks,62892,,,
Ferry,WA,3013,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,1030,,,
Ferry,WA,3013,US-Canada Border,2/1/20 0:00,Personal Vehicles,559,,,
Ferry,WA,3013,US-Canada Border,2/1/20 0:00,Truck Containers Empty,5,,,
Ferry,WA,3013,US-Canada Border,2/1/20 0:00,Trucks,5,,,
Grand Portage,MN,3613,US-Canada Border,2/1/20 0:00,Bus Passengers,789,,,
Fort Fairfield,ME,107,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,10425,,,
Fort Fairfield,ME,107,US-Canada Border,2/1/20 0:00,Personal Vehicles,6451,,,
Fort Fairfield,ME,107,US-Canada Border,2/1/20 0:00,Truck Containers Empty,281,,,
Fort Fairfield,ME,107,US-Canada Border,2/1/20 0:00,Truck Containers Full,59,,,
Fort Fairfield,ME,107,US-Canada Border,2/1/20 0:00,Trucks,340,,,
Fort Kent,ME,110,US-Canada Border,2/1/20 0:00,Bus Passengers,18,,,
Fort Kent,ME,110,US-Canada Border,2/1/20 0:00,Buses,1,,,
Fort Kent,ME,110,US-Canada Border,2/1/20 0:00,Pedestrians,48,,,
Fort Kent,ME,110,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,10868,,,
Fort Kent,ME,110,US-Canada Border,2/1/20 0:00,Personal Vehicles,7830,,,
Fort Kent,ME,110,US-Canada Border,2/1/20 0:00,Truck Containers Empty,815,,,
Fort Kent,ME,110,US-Canada Border,2/1/20 0:00,Truck Containers Full,80,,,
Fort Kent,ME,110,US-Canada Border,2/1/20 0:00,Trucks,895,,,
Fortuna,ND,3417,US-Canada Border,2/1/20 0:00,Bus Passengers,36,,,
Fortuna,ND,3417,US-Canada Border,2/1/20 0:00,Buses,1,,,
Fortuna,ND,3417,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,1844,,,
Fortuna,ND,3417,US-Canada Border,2/1/20 0:00,Personal Vehicles,898,,,
Fortuna,ND,3417,US-Canada Border,2/1/20 0:00,Truck Containers Empty,99,,,
Fortuna,ND,3417,US-Canada Border,2/1/20 0:00,Truck Containers Full,321,,,
Fortuna,ND,3417,US-Canada Border,2/1/20 0:00,Trucks,420,,,
Frontier,WA,3020,US-Canada Border,2/1/20 0:00,Bus Passengers,384,,,
Frontier,WA,3020,US-Canada Border,2/1/20 0:00,Buses,39,,,
Frontier,WA,3020,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,8786,,,
Frontier,WA,3020,US-Canada Border,2/1/20 0:00,Personal Vehicles,4088,,,
Frontier,WA,3020,US-Canada Border,2/1/20 0:00,Truck Containers Empty,1638,,,
Frontier,WA,3020,US-Canada Border,2/1/20 0:00,Truck Containers Full,722,,,
Frontier,WA,3020,US-Canada Border,2/1/20 0:00,Trucks,2174,,,
Grand Portage,MN,3613,US-Canada Border,2/1/20 0:00,Buses,33,,,
Grand Portage,MN,3613,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,24561,,,
Grand Portage,MN,3613,US-Canada Border,2/1/20 0:00,Personal Vehicles,12256,,,
Grand Portage,MN,3613,US-Canada Border,2/1/20 0:00,Truck Containers Empty,415,,,
Grand Portage,MN,3613,US-Canada Border,2/1/20 0:00,Truck Containers Full,692,,,
Grand Portage,MN,3613,US-Canada Border,2/1/20 0:00,Trucks,1095,,,
Hannah,ND,3408,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,89,,,
Hannah,ND,3408,US-Canada Border,2/1/20 0:00,Personal Vehicles,57,,,
Hannah,ND,3408,US-Canada Border,2/1/20 0:00,Truck Containers Empty,11,,,
Hannah,ND,3408,US-Canada Border,2/1/20 0:00,Trucks,11,,,
Hansboro,ND,3415,US-Canada Border,2/1/20 0:00,Bus Passengers,79,,,
Hansboro,ND,3415,US-Canada Border,2/1/20 0:00,Buses,3,,,
Hansboro,ND,3415,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,817,,,
Hansboro,ND,3415,US-Canada Border,2/1/20 0:00,Personal Vehicles,395,,,
Hansboro,ND,3415,US-Canada Border,2/1/20 0:00,Truck Containers Empty,19,,,
Hansboro,ND,3415,US-Canada Border,2/1/20 0:00,Trucks,19,,,
Hidalgo,TX,2305,US-Mexico Border,2/1/20 0:00,Bus Passengers,19145,,,
Hidalgo,TX,2305,US-Mexico Border,2/1/20 0:00,Buses,1557,,,
Hidalgo,TX,2305,US-Mexico Border,2/1/20 0:00,Pedestrians,178722,,,
Hidalgo,TX,2305,US-Mexico Border,2/1/20 0:00,Personal Vehicle Passengers,608793,,,
Hidalgo,TX,2305,US-Mexico Border,2/1/20 0:00,Personal Vehicles,303087,,,
Hidalgo,TX,2305,US-Mexico Border,2/1/20 0:00,Truck Containers Empty,18891,,,
Hidalgo,TX,2305,US-Mexico Border,2/1/20 0:00,Truck Containers Full,35479,,,
Hidalgo,TX,2305,US-Mexico Border,2/1/20 0:00,Trucks,54368,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Bus Passengers,3829,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Buses,173,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,56013,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Personal Vehicles,25640,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Rail Containers Empty,106,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Rail Containers Full,840,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Train Passengers,30,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Trains,19,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Truck Containers Empty,1474,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Truck Containers Full,6259,,,
Highgate Springs-Alburg,VT,212,US-Canada Border,2/1/20 0:00,Trucks,7640,,,
Houlton,ME,106,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,26053,,,
Houlton,ME,106,US-Canada Border,2/1/20 0:00,Personal Vehicles,13596,,,
Houlton,ME,106,US-Canada Border,2/1/20 0:00,Truck Containers Empty,1471,,,
Houlton,ME,106,US-Canada Border,2/1/20 0:00,Truck Containers Full,5367,,,
Houlton,ME,106,US-Canada Border,2/1/20 0:00,Trucks,6837,,,
International Falls-Ranier,MN,3604,US-Canada Border,2/1/20 0:00,Bus Passengers,664,,,
International Falls-Ranier,MN,3604,US-Canada Border,2/1/20 0:00,Buses,24,,,
International Falls-Ranier,MN,3604,US-Canada Border,2/1/20 0:00,Pedestrians,341,,,
International Falls-Ranier,MN,3604,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,39639,,,
International Falls-Ranier,MN,3604,US-Canada Border,2/1/20 0:00,Personal Vehicles,22690,,,
International Falls-Ranier,MN,3604,US-Canada Border,2/1/20 0:00,Rail Containers Empty,13726,,,
International Falls-Ranier,MN,3604,US-Canada Border,2/1/20 0:00,Rail Containers Full,46343,,,
